發票年月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013/4/1,M,南投縣,便利商店,35643,3782793,106
2013/4/1,M,南投縣,綜合商品零售業,34415,4280928,124
2013/4/1,N,彰化縣,便利商店,17318,2125932,123
2013/4/1,N,彰化縣,綜合商品零售業,39060,4611492,118
2013/4/1,N,彰化縣,超級市場,304016,30949132,102
2013/4/1,N,彰化縣,食品、飲料及菸草製品零售業,20466,4702830,230
2013/4/1,O,新竹市,便利商店,40104,3207023,80
2013/4/1,O,新竹市,百貨公司,42136,67706093,1607
2013/4/1,O,新竹市,綜合商品零售業,39176,6860917,175
2013/4/1,O,新竹市,超級市場,11104,1914192,172
2013/4/1,O,新竹市,食品、飲料及菸草製品零售業,11220,2848754,254
2013/4/1,P,雲林縣,便利商店,41190,4189179,102
2013/4/1,P,雲林縣,綜合商品零售業,38256,4747263,124
2013/4/1,P,雲林縣,超級市場,31240,11822736,378
2013/4/1,P,雲林縣,食品、飲料及菸草製品零售業,14689,4958319,338
2013/4/1,Q,嘉義縣,便利商店,43374,4056687,94
2013/4/1,Q,嘉義縣,綜合商品零售業,41426,4558407,110
2013/4/1,Q,嘉義縣,超級市場,32556,9824651,302
2013/4/1,T,屏東縣,便利商店,19796,2437703,123
2013/4/1,T,屏東縣,綜合商品零售業,47505,6224756,131
2013/4/1,T,屏東縣,零售式量販店,14966,4948638,331
2013/4/1,T,屏東縣,食品、飲料及菸草製品零售業,15449,4286428,277
2013/4/1,U,花蓮縣,便利商店,58068,5635593,97
2013/4/1,U,花蓮縣,綜合商品零售業,48739,5450101,112
2013/4/1,V,臺東縣,便利商店,50758,5148231,101
2013/4/1,V,臺東縣,綜合商品零售業,47026,5100286,108
2013/4/1,X,澎湖縣,便利商店,60766,8070632,133
2013/4/1,X,澎湖縣,綜合商品零售業,52970,7420582,140
2013/5/1,A,臺北市,便利商店,56042,4177946,75
2013/5/1,A,臺北市,百貨公司,112852,194406602,1723
2013/5/1,A,臺北市,綜合商品零售業,50744,9896441,195
2013/5/1,A,臺北市,超級市場,16398,3394892,207
