發票年,發票月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2014,8,U,花蓮縣,便利商店,26839,2696293,100
2014,8,V,臺東縣,便利商店,26952,2775758,103
2014,8,W,金門縣,便利商店,28155,3202324,114
2014,8,X,澎湖縣,便利商店,25717,3654429,142
2014,8,Z,連江縣,便利商店,28521,3627082,127
2014,9,A,臺北市,便利商店,29207,2303693,79
2014,9,B,臺中市,便利商店,25553,2332128,91
2014,9,C,基隆市,便利商店,22161,1795501,81
2014,9,D,臺南市,便利商店,25522,2322243,91
2014,9,E,高雄市,便利商店,24847,2213718,89
2014,9,F,新北市,便利商店,24249,2051422,85
2014,9,G,宜蘭縣,便利商店,22709,2080867,92
2014,9,H,桃園市,便利商店,24296,2066765,85
2014,9,I,嘉義市,便利商店,23216,2051241,88
2014,9,J,新竹縣,便利商店,22377,1951929,87
2014,9,K,苗栗縣,便利商店,21907,1985844,91
2014,9,M,南投縣,便利商店,21289,2186515,103
2014,9,N,彰化縣,便利商店,23264,2373381,102
2014,9,O,新竹市,便利商店,23391,1818578,78
2014,9,P,雲林縣,便利商店,21697,2109867,97
2014,9,Q,嘉義縣,便利商店,21680,2020888,93
2014,9,T,屏東縣,便利商店,24469,2477032,101
2014,9,U,花蓮縣,便利商店,24406,2288066,94
2014,9,V,臺東縣,便利商店,23570,2338448,99
2014,9,W,金門縣,便利商店,27885,3008568,108
2014,9,X,澎湖縣,便利商店,23734,3202462,135
2014,9,Z,連江縣,便利商店,27491,3410031,124
2014,10,A,臺北市,便利商店,28199,2269949,80
2014,10,B,臺中市,便利商店,24969,2276757,91
2014,10,C,基隆市,便利商店,20942,1734279,83
2014,10,D,臺南市,便利商店,25288,2270545,90
2014,10,E,高雄市,便利商店,24950,2217744,89
2014,10,F,新北市,便利商店,22863,1977256,86
2014,10,G,宜蘭縣,便利商店,21710,2033307,94
2014,10,H,桃園市,便利商店,23115,1995253,86
2014,10,I,嘉義市,便利商店,22897,1990217,87
2014,10,J,新竹縣,便利商店,21396,1899699,89
2014,10,K,苗栗縣,便利商店,21001,1922386,92
2014,10,M,南投縣,便利商店,21311,2187269,103
2014,10,N,彰化縣,便利商店,22044,2251117,102
2014,10,O,新竹市,便利商店,22456,1766355,79
2014,10,P,雲林縣,便利商店,20664,2016069,98
2014,10,Q,嘉義縣,便利商店,21587,2001565,93
2014,10,T,屏東縣,便利商店,24381,2409446,99
2014,10,U,花蓮縣,便利商店,24318,2306613,95
2014,10,V,臺東縣,便利商店,23458,2324646,99
2014,10,W,金門縣,便利商店,27968,3153826,113
2014,10,X,澎湖縣,便利商店,20606,2900508,141
2014,10,Z,連江縣,便利商店,25181,3124829,124
2014,11,A,臺北市,便利商店,26178,2140217,82
2014,11,B,臺中市,便利商店,23038,2172018,94
2014,11,C,基隆市,便利商店,19393,1652400,85
2014,11,D,臺南市,便利商店,23354,2157253,92
2014,11,E,高雄市,便利商店,22983,2092200,91
2014,11,F,新北市,便利商店,21134,1870543,89
2014,11,G,宜蘭縣,便利商店,19956,1932719,97
